Year,DOY,Hour,Ta (C),Ts (C),RH (%),wind_speed (ms-1),wind_dir (Deg),precip (mm)
2013,1,0:30,-1.24,-1.614355226,75.9,6.6,256.7,0
2013,1,1:00,-1.4,-1.990294913,72.5,6.3,281.8,0
2013,1,1:30,-1.81,-2.547567717,73.8,6.1,262,0
2013,1,2:00,-2.25,-3.531439939,73.3,5.4,275.1,0
2013,1,2:30,-2.45,-3.6680002,69.64,5.2,269.3,0
2013,1,3:00,-2.6,-3.426275085,69.89,5.9,278.3,0
2013,1,3:30,-2.75,-3.642709065,68.23,6.7,276,0
2013,1,4:00,-3.16,-4.969367253,66.74,6.2,257.8,0
2013,1,4:30,-3.78,-5.016450184,72.1,4.9,260.6,0
2013,1,5:00,-4.12,-6.116364523,72,5.2,263.4,0
2013,1,5:30,-4.41,-5.178313524,75.1,4.1,263.6,0
2013,1,6:00,-4.14,-4.529683668,75,4.9,261.3,0
2013,1,6:30,-4.03,-4.364797565,76.2,4.4,276.1,0
2013,1,7:00,-4.05,-4.349566564,78.7,4.1,279.3,0
2013,1,7:30,-4.26,-4.656116174,81.5,3.4,254.2,0
2013,1,8:00,-4.68,-5.31432013,77.8,3.6,189.7,0
2013,1,8:30,-4.98,-5.44180477,74.2,3.7,256.3,0
2013,1,9:00,-4.96,-5.220509193,72.7,3.7,208.2,0
2013,1,9:30,-5.01,-5.198055594,72.3,3.8,193.2,0
2013,1,10:00,-5.16,-5.19637792,69.21,5.3,174.5,0
2013,1,10:30,-5.25,-6.62446506,58.72,6.3,239.6,0
2013,1,11:00,-5.33,-7.66299276,56.02,5.8,234.9,0
2013,1,11:30,-4.88,-7.040573351,55.05,5.1,223.3,0
2013,1,12:00,-4.5,-6.421757758,54.61,5.1,218.3,0
2013,1,12:30,-3.56,-5.913637341,49.68,5.4,250.2,0
2013,1,13:00,-2.62,-5.851610362,44.24,5.5,243.1,0
2013,1,13:30,-3.48,-6.321656682,46.19,5.4,244.5,0
2013,1,14:00,-4.32,-7.082759957,49.43,5.1,182.9,0
2013,1,14:30,-5.06,-8.156467685,52.43,4.3,209.6,0
2013,1,15:00,-5.22,-8.847169582,51.98,4.9,245.7,0
2013,1,15:30,-5.38,-9.43311453,53.48,4,231.4,0
2013,1,16:00,-5.67,-10.10524497,53.13,3.9,270.6,0
2013,1,16:30,-6.47,-10.91781331,53.71,4.9,279.3,0
2013,1,17:00,-7.36,-12.10987011,58.09,3.8,289.6,0
2013,1,17:30,-8.84,-13.23933547,66.92,3,294,0
2013,1,18:00,-10.03,-13.95621261,71.5,2.2,293.3,0
2013,1,18:30,-10.83,-14.51908144,75.3,0.7,276.8,0
2013,1,19:00,-11.32,-14.78912305,77.8,1.2,279.6,0
2013,1,19:30,-11.7,-15.12673947,82,1.1,299.3,0
2013,1,20:00,-11.99,-15.37785631,86,1.6,303.9,0
2013,1,20:30,-11.97,-14.540033,88.5,1.3,297.5,0
2013,1,21:00,-10.97,-10.96504233,89.4,1.8,277.8,0
2013,1,21:30,-9.3,-9.062901937,85.5,2.5,272.2,0
2013,1,22:00,-8.54,-8.235865348,84.5,2.7,258.4,0
2013,1,22:30,-7.82,-7.862236714,82.6,3.9,250.7,0
2013,1,23:00,-7.54,-7.565324683,82,3.7,249.6,0
2013,1,23:30,-7.2,-7.180123386,83.4,3.1,229.5,0
2013,1,0:00,-6.89,-7.684936127,83.4,2.9,222.6,0
2013,182,0:30,17.89,18.1772055,83.5,2.2,166.2,0
2013,182,1:00,17.05,17.66324175,89.7,1,232.6,0
2013,182,1:30,16.53,17.56597771,91.7,2.1,194,0
2013,182,2:00,16.59,17.49351578,85.7,2.5,171.1,0
2013,182,2:30,16.6,17.39592558,81.7,2.8,152.9,0
2013,182,3:00,15.99,17.06448963,85,1.5,219.1,0
2013,182,3:30,15.51,16.53902867,88,1.3,272.1,0
2013,182,4:00,15.03,16.02072641,89,0.9,266,0
2013,182,4:30,15,15.90225208,90,1.9,212.4,0
2013,182,5:00,15.09,16.11991185,91.2,1.3,242,0
2013,182,5:30,15.31,16.58397613,90.4,1.8,214.6,0
2013,182,6:00,15.95,17.22753965,88,2.6,168.9,0
2013,182,6:30,16.79,17.82938375,80.6,3.4,147.5,0
2013,182,7:00,17.24,18.14779346,78.8,2.6,148.8,0
2013,182,7:30,17.79,18.78395552,77.8,3.2,144.8,0
2013,182,8:00,18.21,19.31921039,77.2,3,96.2,0
2013,182,8:30,19.56,20.87176055,72.5,4.1,88.8,0
2013,182,9:00,20.54,21.62627461,69.32,5.8,82.8,0
2013,182,9:30,20.76,22.02034954,71.4,5.4,85,0
2013,182,10:00,21.27,22.65267677,69.13,6,82.4,0
2013,182,10:30,21.34,22.45396283,66.36,6,85.2,0
2013,182,11:00,21.22,22.36522266,65.46,6.1,89.9,0
2013,182,11:30,21.21,22.11145585,64.11,6.1,87.2,0
2013,182,12:00,20.88,21.72131995,61.68,6.5,83.6,0
2013,182,12:30,20.57,21.43445983,63.29,5.6,100.7,0
2013,182,13:00,20.91,22.06850402,61.38,7.2,96.8,0
2013,182,13:30,21.95,23.35385797,58.25,7.8,77.9,0
2013,182,14:00,22.59,24.16684902,56.43,8.6,74.3,0
2013,182,14:30,22.9,24.31462771,56.17,7.3,79.8,0
2013,182,15:00,23.02,24.47271026,60.3,5.1,88.7,0
2013,182,15:30,22.97,24.08017302,58.18,6,93.3,0
2013,182,16:00,22.86,23.74311063,60.81,5.6,89.9,0
2013,182,16:30,22.85,23.87883562,63.84,4.3,106.7,0
2013,182,17:00,22.83,23.66571564,63.17,4.9,107,0
2013,182,17:30,22.05,22.68248589,67.95,4.5,109,0
2013,182,18:00,21.07,21.65691427,67.96,5.8,110.1,0
2013,182,18:30,20.86,21.49778932,68.18,5.4,107.4,0
2013,182,19:00,20.65,20.96886807,67.36,5.5,114.1,0
2013,182,19:30,20.2,20.31740524,65.85,6.3,103.6,0
2013,182,20:00,19.81,20.13680227,68.6,4.9,110.1,0
2013,182,20:30,19.58,19.93215347,68.71,5.8,112.5,0
2013,182,21:00,19.6,19.91726878,65.51,5.8,102.5,0
2013,182,21:30,19.31,19.58785959,68.33,4.2,126.9,0
2013,182,22:00,18.34,18.95156492,76.2,1.9,129.6,0
2013,182,22:30,17.97,18.98262381,80,2.5,106.6,0
2013,182,23:00,18.3,19.03949811,76.9,3.6,121.8,0
2013,182,23:30,17.84,18.48690413,81.2,4.3,106.7,0
2013,182,0:00,17.78,18.39943368,79.7,3.6,95,0
2013,213,0:30,16.78,17.88276947,100,0.7,202.8,0
2013,213,1:00,16.78,17.80535104,100,1.9,109.2,0.762
2013,213,1:30,16.56,17.57457713,100,2.4,125.2,1.27
2013,213,2:00,16.52,17.48280115,100,1.7,140,3.048
2013,213,2:30,16.39,17.34660957,100,2.8,131.1,2.032
2013,213,3:00,16.28,17.13320889,100,2.2,158.1,3.556
2013,213,3:30,16.22,17.08114119,100,2.8,154.3,4.572
2013,213,4:00,16.17,17.12750673,100,2.7,127.4,1.778
2013,213,4:30,16.41,17.37945592,100,2.8,186.9,0.508
2013,213,5:00,16.5,17.50387518,100,2.8,198.2,0.762
2013,213,5:30,16.6,17.54145914,100,0.7,239.6,1.524
2013,213,6:00,16.72,17.78585759,100,0.2,264.7,0.254
2013,213,6:30,16.85,17.91491555,100,0.4,203.2,0
2013,213,7:00,16.92,17.73393161,100,0.7,279.9,0
2013,213,7:30,17.23,18.5391765,100,2.1,251.1,0
2013,213,8:00,18.09,20.15283926,100,2.5,228,0
2013,213,8:30,18.29,20.48626729,100,3.3,222.9,0
2013,213,9:00,19.62,22.10970796,100,3.3,198.5,0
2013,213,9:30,20.78,23.39904104,95.7,3.8,234,0
2013,213,10:00,21.69,24.34934194,91.4,4.4,216.7,0
2013,213,10:30,21.74,24.65739661,87.9,5.9,230.8,0
2013,213,11:00,22.72,26.20927642,83.3,4.7,248.2,0
2013,213,11:30,23.69,27.0421433,76.6,6.1,242.2,0
2013,213,12:00,24.37,28.23397832,72.6,5.3,228.9,0
2013,213,12:30,24.93,28.5711952,69.47,4.9,226.9,0
2013,213,13:00,25.05,27.9669266,67.4,5.7,251.1,0
2013,213,13:30,25.28,28.95798351,65.59,6.7,253.5,0
2013,213,14:00,25.67,29.20346299,60.77,5.9,248,0
2013,213,14:30,25.66,28.39334028,62.42,4.3,211.4,0
2013,213,15:00,25.1,27.76091906,65.19,3.5,190.7,0
2013,213,15:30,25.02,26.73171849,64.28,4.4,232.1,0
2013,213,16:00,25.07,27.70516016,65.62,4.6,208.7,0
2013,213,16:30,25.07,26.54469109,62.53,5.3,232,0
2013,213,17:00,24.58,25.14673975,61.86,4.8,220.7,0
2013,213,17:30,21.92,23.32417716,74,3.1,219.8,0
2013,213,18:00,21.99,23.39838942,73.1,3.4,260.8,0
2013,213,18:30,22.01,23.50786223,73.6,2.8,243.4,0
2013,213,19:00,20.97,21.6969463,75.3,3.1,256.1,0
2013,213,19:30,19.18,20.07723253,84.4,2.1,266.9,0
2013,213,20:00,18.12,19.24891223,86.9,2.5,262,0
2013,213,20:30,17.15,18.23802388,90.8,1.8,275.3,0
2013,213,21:00,16.3,17.71309486,92.5,1.5,270.1,0
2013,213,21:30,15.88,17.13141557,95.1,1.3,273.6,0
2013,213,22:00,15.33,16.48822723,96,1.7,276.2,0
2013,213,22:30,14.96,16.2767451,97.3,1.6,285.5,0
2013,213,23:00,14.91,15.95725688,98.6,1.7,283.1,0
2013,213,23:30,14.69,15.38811506,99.5,1.2,296,0
2013,213,0:00,14.32,15.0716054,100,1.4,287.6,0
